日期 时间 WH主压力（psi） T主压力（psi） WL主压力（psi） WH备压力（psi） T备压力（psi） WL备压力（psi） 高层进气压力（psi） 高层干燥气压力（psi） 高层卸压流量（L/min） 高层干燥气流量（L/min） 高层旁路流量（L/min） 低层进气压力（psi） 低层干燥气压力（psi） 低层卸压流量（L/min） 低层干燥气流量（L/min） 低层旁路流量（L/min）
2025-01-16 22:00:53 1539.61 1420.07 1674.65 0.00 0.00 0.00 16.58 6.26 0.00 5.00 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:54 1535.18 1426.71 1668.00 0.00 0.00 0.00 16.51 6.07 0.00 4.95 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:55 1535.18 1426.71 1659.15 0.00 0.00 0.00 16.45 6.26 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:56 1535.18 1428.93 1672.43 0.00 0.00 0.00 16.03 5.16 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:57 1537.40 1426.71 1670.22 0.00 0.00 0.00 16.45 6.14 0.00 4.95 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:58 1537.40 1422.29 1670.22 0.00 0.00 0.00 16.39 6.26 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:59 1539.61 1422.29 1663.58 0.00 0.00 0.00 16.03 5.34 0.00 4.99 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:00 1537.40 1424.50 1672.43 0.00 0.00 0.00 16.51 6.26 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:01 1541.82 1428.93 1668.00 0.00 0.00 0.00 16.39 6.32 0.00 4.97 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:02 1541.82 1426.71 1670.22 0.00 0.00 0.00 16.39 6.32 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:03 1544.04 1426.71 1661.36 0.00 0.00 0.00 16.03 5.34 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:04 1537.40 1424.50 1668.00 0.00 0.00 0.00 16.51 6.32 0.00 5.00 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:05 1530.76 1420.07 1685.71 0.00 0.00 0.00 16.27 6.26 0.00 4.90 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:06 1535.18 1422.29 1659.15 0.00 0.00 0.00 16.21 5.28 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:07 1539.61 1426.71 1670.22 0.00 0.00 0.00 16.58 6.38 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:08 1535.18 1426.71 1674.65 0.00 0.00 0.00 16.45 6.44 0.00 5.00 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:09 1537.40 1428.93 1672.43 0.00 0.00 0.00 16.45 6.26 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:10 1535.18 1424.50 1674.65 0.00 0.00 0.00 16.45 5.95 0.00 4.98 0.97 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:11 1537.40 1426.71 1670.22 0.00 0.00 0.00 16.45 6.44 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:12 1544.04 1424.50 1676.86 0.00 0.00 0.00 16.45 5.77 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:13 1541.82 1426.71 1676.86 0.00 0.00 0.00 15.84 6.44 0.00 4.77 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:14 1537.40 1426.71 1672.43 0.00 0.00 0.00 16.51 6.26 0.00 4.95 0.97 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:15 1532.97 1426.71 1661.36 0.00 0.00 0.00 14.87 6.44 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:16 1541.82 1420.07 1674.65 0.00 0.00 0.00 16.58 6.26 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:17 1541.82 1424.50 1665.79 0.00 0.00 0.00 15.72 6.44 0.00 4.97 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:18 1537.40 1428.93 1672.43 0.00 0.00 0.00 16.51 6.44 0.00 5.00 0.99 0.00 0.00 0.00 0.00 0.00
